id,text_sha256,char_len,word_count,source_document
1,047f51648c48777ccc1d388aa2d6003458bf3f15399fe690aac0abf56006eee0,57,9,
2,2fa20d86a533edbbd5b1fec72f54b6afad6583a0614233435eb4ddcbd0e1a817,100,17,
3,aaf1a84bdea0be8f6ede3b05e2bebbf64b0e7eeacdc99d8c77190b9ca7ec7233,98,14,
4,a761df83308e522717d7eba3f07d203a0622e31a12f98500287d24d2316711b5,101,17,
5,88fa1ec274ff600cb7bb2528f5d43f4c4cb098bdc5ffb3d771262007f62bdc6f,101,15,
6,6c9ead70a9ec5918a2385d445049b6d8edf27a064d5ef4de14358792190ed95f,196,32,
7,f712335fcfd523b240da0d8cb35b3518cd55998883d794e974dfdb8314090650,187,28,
8,f89498c73d73650ca19d3e8c6ea19ecaaaf3614a1650936e4478f7c14e967a58,183,29,
9,b8d4504cb36656a54e6f09cbc4082e9ccf9cad9fe66d0dbf8173ea130dc7f2c8,181,31,
10,32b3f967fcfa06fbdd10018e6fd63d91734bdc2197197bb8abb728b449dba1a9,330,56,
11,d4b96983d35e58120a87b0feb63a605a21c0d5513b9c78a8d357e3cee9c9b7aa,326,56,
12,2ce2250aa324f10d636c4bc0f026e19debf2d226e1df8d0dad921c1e7c866a3c,324,50,
13,fc7feca96fabc29a4b83836ea03e0b63185c712c1c98da9e4ed930317c4ebfab,322,55,
14,11665370b9cce9b708a111429d1259346c50d394c1a76a68b0587001324ed8f2,100,13,
15,8ed8ea1bd9fa4182f52356908a0c29934a1d83f3fad3c5289a6536028c860397,100,13,
16,cebe91ae4bca46238008ce61cad58fb8cab53245468b010702d45527a297b47f,100,14,
17,c09406c9b4a0ef86acc7263d22a6631e152ead03c7e434471bca4cf50cee333f,100,14,
18,e374952ec532ddb02a2270729fc9676e170b13f7ecfd35952e9ca6c49018d6a6,99,14,
19,61fb267f52b1ef7a8fc5466886aed53b270ef67ff91418f6d537dbc99ca6c4ef,186,30,
20,96eb27d462095e81a974d92e0d2b82fec12039650bdfce6a178c37ce0d83bbda,186,28,
21,05d5b375543bba6d308f1a72e8da719d3c482bbc11cc417cd79d6366caf22589,187,31,
22,5bab20a5a3061f049498f4d7b535ce34389617f3960240e87ba8fe73daa700df,183,29,
23,517dc47f7ca63abf4cd76fcb0b63bd525bb64d53704b9f813e29ea2d48a6db84,329,52,
24,45ee6ba5b9ed58972e32ecf6e2b9f1178cf231cfdd1236a4d6f9ad3c1cd960c1,332,53,
25,507d088abc81537a848130a17bea7f49c36dad10fae712cbdb7ad728b60db4f0,358,57,
26,809400071ddbaabe6795771bc9b9a7830806ecef0a5fcff34a9cfad6f9990648,109,16,
27,7f2f81c5490878155c3b172b8bef5040fe2c020fea4e7be47fc1ff76256d6010,102,16,
28,262726ab1f31419ebff0f7b019ba5aeb32c23d3900a6d1e1317f395351016daf,154,21,
29,c2f30542a391d92711dc7154cacbe72460f1e80893aa1505e69dfd60e44979c8,140,22,
30,7fd61bd4102913b028f2411b1531d52e3b4c1a7225a08c2baff184fa1b220292,144,23,
31,3a060c59489f1d6e83ecd73d8e4cc36f45656c0497945d4bef6511a9dbcff03e,177,26,
32,6b7e8df10372b4f52b79bdcb10859f362176816e6a18cc31fcf29e022ba45652,164,26,
33,396dc78f71d237ed3eecd34dab5775867497b23ac8114623d2a6026a07e12e24,305,45,
